molecule,np,mode,T1_s,T2_s,note
C4H10,16,cold,2.27,10.17,occ1 (pre-collected)
C4H10,16,warm,2.39,10.71,occ2 (pre-collected)
C4H10,8,cold,2.27,11.55,occ1
C4H10,8,warm,2.43,13.31,occ2
C4H10,4,cold,2.51,13.93,occ1
C4H10,4,warm,2.59,16.70,occ2
C5H12,16,cold,2.79,20.39,occ1
C5H12,16,warm,3.13,18.29,occ2
C5H12,8,cold,3.03,25.88,occ1
C5H12,8,warm,3.34,22.25,occ2
C5H12,4,cold,3.58,36.21,occ1
C5H12,4,warm,3.77,28.44,occ2
C3H8,16,cold,2.37,6.80,occ1
C3H8,16,warm,2.14,8.47,occ2
C3H8,8,cold,2.31,7.39,occ1
C3H8,8,warm,1.98,9.27,occ2
C3H8,4,cold,2.40,8.08,occ1
C3H8,4,warm,1.91,9.73,occ2
C2H6,16,cold,1.93,4.29,occ1
C2H6,16,warm,1.52,4.44,occ2
C2H6,8,cold,1.65,3.93,occ1
C2H6,8,warm,1.24,4.29,occ2
C2H6,4,cold,1.41,3.73,occ1
C2H6,4,warm,1.01,3.74,occ2
