molecule,np,side,trial,T2_s,t2_nnz,t2_sum,note
C2H6,16,repro_warm,trial1,3.16513,150301,-0.000677185,ok
C2H6,16,repro_warm,trial2,3.13227,150301,-0.000677185,ok
C2H6,16,repro_warm,trial3,3.17534,150301,-0.000677185,ok
C2H6,8,repro_warm,trial1,3.60456,150301,-0.000677185,ok
C2H6,8,repro_warm,trial2,3.6297,150301,-0.000677185,ok
C2H6,8,repro_warm,trial3,3.64712,150301,-0.000677185,ok
C2H6,4,repro_warm,trial1,4.30343,150301,-0.000677185,ok
C2H6,4,repro_warm,trial2,4.29554,150301,-0.000677185,ok
C2H6,4,repro_warm,trial3,4.31307,150301,-0.000677185,ok
C2H6,2,repro_warm,trial1,4.58524,150301,-0.000677185,ok
C2H6,2,repro_warm,trial2,4.41134,150301,-0.000677185,ok
C2H6,2,repro_warm,trial3,4.53683,150301,-0.000677185,ok
C2H6,1,repro_warm,trial1,2.96428,150301,-0.000677185,ok
C2H6,1,repro_warm,trial2,2.92783,150301,-0.000677185,ok
C2H6,1,repro_warm,trial3,2.95692,150301,-0.000677185,ok
C3H8,16,repro_warm,trial1,18.441,261914,-0.043808,ok
C3H8,16,repro_warm,trial2,18.6628,261914,-0.043808,ok
C3H8,16,repro_warm,trial3,18.3889,261914,-0.043808,ok
C3H8,8,repro_warm,trial1,21.6567,261914,-0.043808,ok
C3H8,8,repro_warm,trial2,21.8775,261914,-0.043808,ok
C3H8,8,repro_warm,trial3,21.3311,261914,-0.043808,ok
C3H8,4,repro_warm,trial1,27.6072,261914,-0.043808,ok
C3H8,4,repro_warm,trial2,27.8694,261914,-0.043808,ok
C3H8,4,repro_warm,trial3,27.0202,261914,-0.043808,ok
C3H8,2,repro_warm,trial1,30.5204,261914,-0.043808,ok
C3H8,2,repro_warm,trial2,31.0239,261914,-0.043808,ok
C3H8,2,repro_warm,trial3,30.167,261914,-0.043808,ok
C3H8,1,repro_warm,trial1,22.4934,261914,-0.043808,ok
C3H8,1,repro_warm,trial2,22.8888,261914,-0.043808,ok
C3H8,1,repro_warm,trial3,22.7126,261914,-0.043808,ok
C4H10,16,repro_warm,trial1,20.5822,371400,-7.10588,ok
C4H10,16,repro_warm,trial2,21.3582,371400,-7.10588,ok
C4H10,16,repro_warm,trial3,20.6116,371400,-7.10588,ok
C4H10,8,repro_warm,trial1,25.6994,371400,-7.10588,ok
C4H10,8,repro_warm,trial2,24.8972,371400,-7.10588,ok
C4H10,8,repro_warm,trial3,25.2078,371400,-7.10588,ok
C4H10,4,repro_warm,trial1,35.5842,371400,-7.10588,ok
C4H10,4,repro_warm,trial2,35.9165,371400,-7.10588,ok
C4H10,4,repro_warm,trial3,33.341,371400,-7.10588,ok
C4H10,2,repro_warm,trial1,41.3193,371400,-7.10588,ok
C4H10,2,repro_warm,trial2,42.5183,371400,-7.10588,ok
C4H10,2,repro_warm,trial3,39.1206,371400,-7.10588,ok
C4H10,1,repro_warm,trial1,37.59,371400,-7.10588,ok
C4H10,1,repro_warm,trial2,36.3148,371400,-7.10588,ok
C4H10,1,repro_warm,trial3,38.154,371400,-7.10588,ok
C5H12,16,repro_warm,trial1,48.7499,482201,-0.0354836,ok
C5H12,16,repro_warm,trial2,48.9372,482201,-0.0354836,ok
C5H12,16,repro_warm,trial3,48.2413,482201,-0.0354836,ok
C5H12,8,repro_warm,trial1,62.3319,482201,-0.0354836,ok
C5H12,8,repro_warm,trial2,63.5455,482201,-0.0354836,ok
C5H12,8,repro_warm,trial3,62.1833,482201,-0.0354836,ok
C5H12,4,repro_warm,trial1,91.0146,482201,-0.0354836,ok
C5H12,4,repro_warm,trial2,91.2047,482201,-0.0354836,ok
C5H12,4,repro_warm,trial3,87.4299,482201,-0.0354836,ok
C5H12,2,repro_warm,trial1,114.867,482201,-0.0354836,ok
C5H12,2,repro_warm,trial2,115.666,482201,-0.0354836,ok
C5H12,2,repro_warm,trial3,113.836,482201,-0.0354836,ok
C5H12,1,repro_warm,trial1,116.408,482201,-0.0354836,ok
C5H12,1,repro_warm,trial2,115.272,482201,-0.0354836,ok
C5H12,1,repro_warm,trial3,116.204,482201,-0.0354836,ok
C6H14,16,repro_warm,OOM,-,-,-,SIGABRT/bad_alloc even at np=16 across 16 nodes - giant μ̃Κ intermediate memory-prohibitive at hexane scale (occ19 PNO351 RI906)
